lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
,10099,185.354736328125,64,,,,
0.012583515639333062,10149,,,,,,
,10149,185.44155883789062,64,,,,
0.012665651228677868,10199,,,,,,
,10199,184.62747192382812,64,,,,
,10204,,64,185.57041931152344,0.14569999277591705,,
0.012748138953135313,10249,,,,,,
,10249,184.58535766601562,65,,,,
0.012830978074245838,10299,,,,,,
,10299,184.78182983398438,65,,,,
0.01291416785040414,10349,,,,,,
,10349,183.92535400390625,65,,,,
,10361,,65,183.923828125,0.20260000228881836,,
0.01299770753686566,10399,,,,,,
,10399,184.11807250976562,66,,,,
0.01308159638575336,10449,,,,,,
,10449,184.05673217773438,66,,,,
0.013165833646064357,10499,,,,,,
,10499,184.2427978515625,66,,,,
,10518,,66,183.51600646972656,0.21789999306201935,,
0.013250418563676633,10549,,,,,,
,10549,183.92071533203125,67,,,,
0.013335350381355901,10599,,,,,,
,10599,184.2584228515625,67,,,,
0.013420628338762217,10649,,,,,,
,10649,183.2545928955078,67,,,,
,10675,,67,183.19326782226562,0.21050000190734863,,
0.01350625167245692,10699,,,,,,
,10699,183.65809631347656,68,,,,
0.01359221961590941,10749,,,,,,
,10749,183.0069122314453,68,,,,
0.013678531399503993,10799,,,,,,
,10799,183.09378051757812,68,,,,
,10832,,68,183.06471252441406,0.21860000491142273,,
0.013765186250546832,10849,,,,,,
,10849,183.46334838867188,69,,,,
0.013852183393272766,10899,,,,,,
,10899,183.31704711914062,69,,,,
0.013939522048852418,10949,,,,,,
,10949,182.63619995117188,69,,,,
,10989,,69,182.6001434326172,0.21170000731945038,,
0.01402720143539897,10999,,,,,,
,10999,182.73553466796875,70,,,,
0.014115220767975334,11049,,,,,,
,11049,183.4508819580078,70,,,,
0.01420357925860101,11099,,,,,,
,11099,183.23876953125,70,,,,
,11146,,70,182.50985717773438,0.2678999900817871,,
0.014292276116259314,11149,,,,,,
,11149,182.58071899414062,71,,,,
0.014381310546904363,11199,,,,,,
,11199,182.67247009277344,71,,,,
0.014470681753468218,11249,,,,,,
,11249,182.15814208984375,71,,,,
0.014560388935867946,11299,,,,,,
,11299,182.70184326171875,71,,,,
,11303,,71,182.27301025390625,0.30140000581741333,,
0.014650431291012858,11349,,,,,,
,11349,181.82806396484375,72,,,,
0.014740808012811732,11399,,,,,,
,11399,181.35340881347656,72,,,,
0.014831518292179893,11449,,,,,,
,11449,181.80426025390625,72,,,,
,11460,,72,181.5287322998047,0.3084999918937683,,
0.014922561317046612,11499,,,,,,
,11499,181.188232421875,73,,,,
0.015013936272362277,11549,,,,,,
,11549,181.10452270507812,73,,,,
0.015105642340105696,11599,,,,,,
,11599,181.19479370117188,73,,,,
,11617,,73,181.40103149414062,0.31200000643730164,,
0.015197678699291464,11649,,,,,,
,11649,181.1620635986328,74,,,,
0.015290044525977278,11699,,,,,,
,11699,180.71316528320312,74,,,,
0.015382738993271333,11749,,,,,,
,11749,181.1292266845703,74,,,,
,11774,,74,180.60694885253906,0.31540000438690186,,
0.015475761271339719,11799,,,,,,
,11799,181.38223266601562,75,,,,
0.015569110527413846,11849,,,,,,
,11849,180.8818359375,75,,,,
0.015662785925797867,11899,,,,,,
,11899,180.64222717285156,75,,,,
,11931,,75,180.45037841796875,0.31310001015663147,,
0.01575678662787626,11949,,,,,,
,11949,180.10877990722656,76,,,,
0.01585111179212119,11999,,,,,,
,11999,180.7240447998047,76,,,,
0.0159457605741002,12049,,,,,,
,12049,180.41732788085938,76,,,,
,12088,,76,179.9902801513672,0.33739998936653137,,
0.01604073212648363,12099,,,,,,
,12099,181.17691040039062,77,,,,
0.01613602559905228,12149,,,,,,
,12149,180.4575958251953,77,,,,
0.01623164013870501,12199,,,,,,
,12199,179.98492431640625,77,,,,
,12245,,77,179.98272705078125,0.35910001397132874,,
0.016327574889466415,12249,,,,,,
,12249,179.659912109375,78,,,,
0.016423828992494366,12299,,,,,,
,12299,180.2184600830078,78,,,,
0.01652040158608782,12349,,,,,,
,12349,179.48854064941406,78,,,,
0.016617291805694503,12399,,,,,,
,12399,179.48394775390625,78,,,,
,12402,,78,179.4783172607422,0.39800000190734863,,
0.016714498783918633,12449,,,,,,
,12449,179.22125244140625,79,,,,
0.01681202165052867,12499,,,,,,
,12499,179.34249877929688,79,,,,
0.01690985953246517,12549,,,,,,
,12549,180.2447052001953,79,,,,
,12559,,79,180.088134765625,0.3330000042915344,,
0.017008011553848526,12599,,,,,,
,12599,178.78379821777344,80,,,,
0.01710647683598683,12649,,,,,,
,12649,179.19186401367188,80,,,,
0.017205254497383804,12699,,,,,,
,12699,180.0969696044922,80,,,,
,12716,,80,178.6112823486328,0.38769999146461487,,
0.0173043436537466,12749,,,,,,
,12749,178.94491577148438,81,,,,
0.017403743417993764,12799,,,,,,
,12799,179.2848358154297,81,,,,
0.017503452900263172,12849,,,,,,
,12849,178.50335693359375,81,,,,
,12873,,81,178.55484008789062,0.40389999747276306,,
0.017603471207919982,12899,,,,,,
,12899,178.0093994140625,82,,,,
0.017703797445564662,12949,,,,,,
,12949,177.88912963867188,82,,,,
0.017804430715040967,12999,,,,,,
,12999,178.08871459960938,82,,,,
,13030,,82,178.1504669189453,0.415800005197525,,
0.01790537011544399,13049,,,,,,
,13049,178.3535614013672,83,,,,
0.01800661474312823,13099,,,,,,
,13099,178.18060302734375,83,,,,
0.018108163691715695,13149,,,,,,
,13149,178.5416259765625,83,,,,
,13187,,83,178.36976623535156,0.42419999837875366,,
0.018210016052103983,13199,,,,,,
,13199,177.45986938476562,84,,,,
0.018312170912474487,13249,,,,,,
,13249,177.5145263671875,84,,,,
0.01841462735830042,13299,,,,,,
,13299,177.55886840820312,84,,,,
,13344,,84,177.8503875732422,0.43950000405311584,,
0.018517384472355222,13349,,,,,,
,13349,178.4795684814453,85,,,,
0.01862044133472053,13399,,,,,,
,13399,176.6607666015625,85,,,,
0.0187237970227946,13449,,,,,,
,13449,177.62838745117188,85,,,,
0.018827450611300436,13499,,,,,,
